City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Carnarvon,AU,-24.8667,113.6333,82.4,44,4,14.97,clear sky
245,Gazojak,TM,41.1875,61.4036,29.62,87,9,8.57,clear sky
246,Bengkulu,ID,-3.8004,102.2655,88.93,53,92,4.29,heavy intensity rain
247,Shaki,AZ,41.0833,47.1667,23.0,93,0,5.75,clear sky
248,Borodino,RU,55.9106,94.8983,2.95,90,82,7.02,broken clouds
249,Kungurtug,RU,50.5994,97.5228,3.85,88,100,0.81,overcast clouds
250,Soyo,AO,-6.1349,12.3689,78.37,83,100,4.14,light rain
251,Banjarmasin,ID,-3.3244,114.591,86.0,74,40,5.75,scattered clouds
252,Thompson,CA,55.7435,-97.8558,-14.8,76,90,9.22,light snow
253,Drayton Valley,CA,53.2168,-114.9854,-2.99,79,100,6.42,overcast clouds
254,Manzhouli,CN,49.6,117.4333,7.88,92,77,5.32,broken clouds
255,Lagoa,PT,39.05,-27.9833,61.47,91,97,28.54,overcast clouds
256,Biltine,TD,14.5333,20.9167,66.04,23,0,9.04,clear sky
257,Korla,CN,41.7597,86.1469,27.16,86,100,6.15,overcast clouds
258,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,73.4,100,0,8.05,clear sky
259,Kita,ML,13.0349,-9.4895,63.7,26,4,4.72,clear sky
260,Qatana,SY,33.4354,36.0815,45.0,68,0,6.91,clear sky
261,Sauk Rapids,US,45.5919,-94.1661,17.6,79,90,9.22,light snow
262,Japura,ID,-0.3167,102.35,80.26,78,100,1.68,overcast clouds
263,Phalaborwa,ZA,-23.943,31.1411,73.4,100,100,11.5,moderate rain
264,Ancud,CL,-41.8697,-73.8203,53.01,71,0,16.11,clear sky
265,Gisborne,NZ,-38.6533,178.0042,82.0,46,18,5.99,light rain
266,Ballitoville,ZA,-29.539,31.2144,80.01,78,75,9.22,broken clouds
267,Ahuimanu,US,21.4447,-157.8378,78.01,73,75,14.97,light rain
268,Kuybysheve,UA,47.358,36.6491,38.52,94,95,12.59,light rain
269,Te Anau,NZ,-45.4167,167.7167,55.92,86,100,7.09,overcast clouds
270,Fare,PF,-16.7,-151.0167,81.3,71,17,12.08,light rain
271,Saint-Augustin,CA,51.226,-58.6502,23.95,98,100,5.35,light snow
272,Vanimo,PG,-2.6741,141.3028,86.81,62,100,6.4,overcast clouds
