City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Pedernales,DO,2021-01-21 23:41:24,18.0384,-71.744,76.93,71,41,4.0
193,Asau,RO,2021-01-21 23:41:24,46.4333,26.4,35.01,66,86,5.48
194,Bredasdorp,ZA,2021-01-21 23:41:24,-34.5322,20.0403,69.8,88,82,5.75
195,Peiting,DE,2021-01-21 23:41:24,47.8,10.9333,37.4,65,100,5.75
196,Suntar,RU,2021-01-21 23:41:24,62.1444,117.6319,-43.82,79,100,1.63
197,Ust-Maya,RU,2021-01-21 23:41:24,60.4167,134.5333,-52.94,74,77,1.74
198,Acajutla,SV,2021-01-21 23:41:25,13.5928,-89.8275,82.51,63,2,5.88
199,La Concepcion,PA,2021-01-21 23:41:25,8.5167,-82.6167,73.44,89,54,0.22
200,Clarksburg,US,2021-01-21 23:41:11,39.2807,-80.3445,37.99,70,20,10.36
201,Talnakh,RU,2021-01-21 23:41:25,69.4865,88.3972,-41.21,78,8,2.59
202,Alyangula,AU,2021-01-21 23:41:25,-13.8483,136.4192,82.4,94,75,2.3
203,Kirkwall,GB,2021-01-21 23:41:25,58.9848,-2.9587,41.0,87,75,33.38
204,Husavik,IS,2021-01-21 23:41:26,66.0449,-17.3389,28.4,93,90,16.11
205,Waingapu,ID,2021-01-21 23:41:26,-9.6567,120.2641,81.79,72,94,6.24
206,Cayenne,GF,2021-01-21 23:41:26,4.9333,-52.3333,73.4,100,75,3.44
207,Deputatskiy,RU,2021-01-21 23:41:26,69.3,139.9,-31.97,85,100,3.69
208,Wanning,CN,2021-01-21 23:41:26,18.8003,110.3967,69.69,93,89,7.25
209,Cumanayagua,CU,2021-01-21 23:41:26,22.1494,-80.2022,75.2,64,39,5.75
210,Bonthe,SL,2021-01-21 23:41:27,7.5264,-12.505,77.79,85,7,5.06
211,Hithadhoo,MV,2021-01-21 23:40:30,-0.6,73.0833,81.88,73,88,9.51
212,Ljungby,SE,2021-01-21 23:41:27,56.8332,13.9408,37.99,87,0,11.5
213,Hailar,CN,2021-01-21 23:41:27,49.2,119.7,-7.24,89,25,7.34
214,Sumbe,AO,2021-01-21 23:41:27,-11.2061,13.8437,74.46,85,73,8.48
215,Berdigestyakh,RU,2021-01-21 23:41:28,62.0989,126.6992,-56.56,58,83,2.48
216,Placido De Castro,BR,2021-01-21 23:40:09,-10.3353,-67.1856,74.46,94,96,3.06
217,Abu Dhabi,AE,2021-01-21 23:41:28,24.4667,54.3667,66.2,63,20,14.97
218,Meulaboh,ID,2021-01-21 23:41:28,4.1363,96.1285,75.2,88,88,4.99
219,Talcahuano,CL,2021-01-21 23:41:28,-36.7167,-73.1167,62.6,82,0,9.22
220,Chemodanovka,RU,2021-01-21 23:41:28,53.2316,45.2474,14.0,57,100,5.75
221,Thompson,CA,2021-01-21 23:41:28,55.7435,-97.8558,-9.4,77,90,2.3
222,Onega,RU,2021-01-21 23:41:28,63.9061,38.1404,-9.09,89,100,7.31
223,Gijon,ES,2021-01-21 23:41:29,43.5357,-5.6615,57.0,71,0,16.11
224,Mayumba,GA,2021-01-21 23:41:29,-3.432,10.6554,79.05,86,100,6.69
225,Mahina,PF,2021-01-21 23:41:29,-17.5065,-149.489,86.0,62,75,11.5
226,Medina,SA,2021-01-21 23:40:32,24.4686,39.6142,55.4,26,0,13.8
227,Guarapari,BR,2021-01-21 23:41:29,-20.6667,-40.4975,78.8,78,20,5.75
228,Chuy,UY,2021-01-21 23:41:29,-33.6971,-53.4616,68.59,83,0,9.19
229,Yar-Sale,RU,2021-01-21 23:41:29,66.8333,70.8333,-36.08,83,83,8.14
230,Presque Isle,US,2021-01-21 23:41:29,46.6811,-68.0159,10.4,85,90,4.61
231,Maniitsoq,GL,2021-01-21 23:41:30,65.4167,-52.9,24.33,82,0,8.1
232,Bengkulu,ID,2021-01-21 23:41:30,-3.8004,102.2655,75.18,84,100,4.29
233,Angren,UZ,2021-01-21 23:41:30,41.0167,70.1436,33.84,89,100,9.62
234,Ola,RU,2021-01-21 23:41:30,59.5833,151.2833,-7.51,74,64,5.93
235,Ghanzi,BW,2021-01-21 23:41:30,-21.5667,21.7833,70.9,80,86,10.71
236,Wajir,KE,2021-01-21 23:41:31,1.7471,40.0573,77.94,72,100,16.24
237,Soyo,AO,2021-01-21 23:41:31,-6.1349,12.3689,79.52,82,100,8.48
238,Panjakent,TJ,2021-01-21 23:41:31,39.4952,67.6093,26.6,80,90,29.93
